customer_id,session_id,visit_date,device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,revenue,pages_viewed,time_on_site_sec,added_to_cart,purchased,cart_abandoned,rating,review_text,review_helpful_votes,payment_method,visit_day,visit_month,visit_weekday,visit_season,session_duration_bucket,revenue_normalized,location,visit_hour,visit_month_num,time_of_day,session_duration_encoded,price_segment,time_on_site_segment,pages_viewed_segment
1803,0,2024-11-28,2,1,2,894,6,651.57,1,20,130.31,0.0,21,965,1,0,1,4,1,0,1,28,11,3,0,Long,0.0,209,0,11,Night,2,Medium,High,Very High
7964,1,2024-09-25,2,0,4,844,2,945.27,4,15,567.16,0.0,21,1158,0,0,0,4,1,0,2,25,9,2,0,Long,0.0,213,0,9,Night,2,High,High,Very High
6890,2,2024-05-31,1,1,0,865,0,400.44,4,0,0.0,0.0,19,710,1,0,1,4,1,0,2,31,5,4,1,Short,0.0,10,0,5,Night,1,Medium,Medium,High
4949,3,2024-01-30,1,0,2,851,3,1268.54,2,5,126.85,2410.23,19,1674,1,1,0,4,10,4,1,30,1,1,3,Very Long,0.305503869,46,0,1,Night,3,Very High,Very High,High
4896,4,2024-02-25,1,1,5,794,3,880.81,3,0,0.0,0.0,13,427,1,0,1,4,1,0,1,25,2,6,3,Very Short,0.0,118,0,2,Night,0,High,Low,Medium
8726,5,2024-03-29,1,0,4,481,3,458.42,2,10,91.68,0.0,6,949,1,0,1,4,1,0,1,29,3,4,1,Long,0.0,207,0,3,Night,2,Medium,High,Low
1773,6,2024-05-28,0,1,1,634,0,623.83,4,0,0.0,2495.32,15,1608,1,1,0,4,3,0,5,28,5,1,1,Very Long,0.316289281,175,0,5,Night,3,Medium,Very High,High
7275,7,2024-11-19,1,0,4,225,6,1491.56,3,15,671.2,0.0,24,1169,0,0,0,4,1,0,4,19,11,1,0,Long,0.0,150,0,11,Night,2,Very High,High,Very High
2813,8,2024-02-13,1,1,3,628,2,791.88,2,0,0.0,0.0,18,285,1,0,1,4,1,0,2,13,2,1,3,Very Short,0.0,141,0,2,Night,0,High,Low,High
1847,9,2024-07-29,1,0,4,664,7,164.42,4,10,65.77,0.0,6,476,1,0,1,4,1,0,1,29,7,0,2,Short,0.0,103,0,7,Night,1,Low,Medium,Low
